id,fold
0bb0c7fa-101b-4583-a5f9-9d503339141c,1
7159f802-6f99-4e9d-97bd-6f565a4a0fae,3
e6a427f1-211f-405f-bd8b-70798458d656,1
1647a352-4cd3-40f6-bfa1-d87d42e34eea,2
9c01de00-841f-4b50-9407-104e9ffb03bf,2
46493f44-f00a-4ffb-9cda-252ccf5fa4c6,1
1417fffa-461c-4bf7-bea5-398e8ea5db81,0
f8021666-1636-4e1f-b8e3-535860eca5ce,1
ed5d2195-09b4-4837-82eb-b65244c8a7b2,4
7d7504ff-295e-435d-b565-ed62d4eebaa0,2
69912f3c-29e5-40ac-a12d-0226e4971615,4
cefabf69-dc9d-4102-9a9b-299cff60a293,1
f3c8b031-a058-4c94-b060-dfc8ef166bb6,1
62d8357a-6f5f-4ee6-9469-650cf09848a6,0
31bcfd31-ae0e-4109-b23b-6c16aa887196,4
990fffce-73a0-4efb-b9dd-1f1fe7154750,4
d987f555-8a59-409d-8d1d-543e4f337d17,4
b36492da-7885-4b31-9c6f-8cd21db8b0d1,0
9ae4cfa9-aa9e-49e5-80ab-e9777ebc77c6,2
525d974a-88f2-4bc4-8442-28b6132abecf,4
c598905d-07f5-4bf0-9292-fb83111a4294,0
95052f18-a604-437f-a496-cc8db50de584,0
7a6b5b9f-dd3b-4b3d-9b18-32db8cc1cd22,0
5a032cd7-ab92-4919-a144-ac428c9850f1,2
19daeb3a-51ab-4899-811c-81b3460fc4ef,4
482c72fd-f125-43cb-ba40-30ddb8073c85,0
1b9e8836-707c-4a8b-b093-7ccc11bdb10e,2
9804e4c4-818f-4579-b38a-8d694f8bddda,4
b3381db7-28ac-4f0d-8206-8e5f2e68e609,1
a7979f8a-c586-4d72-aae2-1d80323b7a0e,2
0dd65725-bbd2-4b20-b333-b2094b9615df,3
bb50fcf3-c32a-4c8f-8c91-78c7bccf2019,4
bb5c7d34-4211-41c4-8770-150486c89cab,2
b7da5a60-b120-43a6-9917-0839236d55cf,1
5aa3aa32-cf05-4e12-a1ac-de58ef76fb3f,3
4664ff15-18f2-4b5c-bd91-d4aaba53cb1c,3
87270541-c2b4-4b41-b411-e75334bcc63b,4
4d533bee-bb36-4350-a812-a3b25f0e8c97,1
09d78962-895d-458e-aa77-2c758a6aece9,1
43cfe174-e1bd-4c1e-96d1-bcc03cd6f93d,1
55ab39f4-77c3-4722-831c-b659d69f8ac7,4
dcef63b7-de77-4394-940e-707d3b2f0761,4
00951c6b-3b44-4a24-b7da-f1a5c4093ed6,4
d883b56b-fbbf-4c13-b4cf-d94ef4da477b,1
8fea416a-a904-4b8c-963b-c65396eae75b,1
6c3bb441-f0de-49b3-88b4-5f885677da0c,0
808d26d6-2ab5-447b-9c37-42f1710be09d,1
030708df-c73d-4241-897e-e76331ad3d3b,0
4fc5c7f9-6bcb-4c3f-942e-02be0cd97215,3
2433b4e1-7901-4c5d-b686-45d364746cc6,2
f87fa307-6d94-4c1f-b58e-e81c3535c507,0
ff2e821f-d786-4c47-8daf-f69ee337c714,2
44301015-2c25-4074-83c6-9ce6b9701171,2
f21d574f-a0df-4a50-b34c-64786e13063c,0
d3d66069-5f9b-4e54-970b-e634ca345f3b,1
bb926728-461d-4fc0-8cc5-206245492e0d,2
fd78c0b2-bb1c-4c92-8479-66973102b4b2,0
a31a02e1-75c5-435f-85e0-d05d199c9ee4,1
01f84405-7716-45bb-bfb7-e40967598388,2
53762680-898c-4ffa-b342-9792973c4a12,3
6beee01b-4442-4c28-9c69-d7e204f4076c,3
38ed7434-181a-4489-9dc8-6871bf9338f1,0
ea68d4c2-8817-4182-b0db-8ef88726cef0,3
004a21bd-4ee0-461a-ab21-b3d6a8c70781,0
da1e4618-879f-4805-832e-b6249541de14,4
5cb05bbc-f0cf-4fc5-b6f0-a4fb562bd35b,3
d5dd59c4-1060-4797-84af-73fa47586d35,4
0ca7cfc7-ed90-43d1-9e2a-80b241e93d36,3
3d1a5a11-48b0-4218-8865-552c7a03a0ac,4
bf3869b4-db28-446c-a5f0-e66fcef5cda9,2
3dad2a95-0481-4af7-817a-751cc5be24e8,0
ebf65993-c340-4cee-861c-4959e76263d6,2
f149229e-1a7f-4aa6-b022-6ec81c0d1eaf,0
b95c5022-0f70-40a9-9495-688286af36f6,2
b0ffb96a-2452-4d4d-a254-b855a2fc687a,1
35b30bdd-2b7b-4414-a3ed-6365167af6c5,3
837fb16f-3942-4be1-a073-a6bd29f3ac3d,2
c55d5498-6b0a-4569-9cd9-a2732731a7c1,4
ce94c19b-b535-48a7-aec1-1149ed389c42,2
04a8560e-48b6-4714-93d9-7cf1b0487597,0
6b3741e5-4952-4d7a-90b0-abdab5d8d497,1
a71e4e70-bdcc-4b07-a4e3-bc4464fd637b,4
